"producto","variedad","Precio Mayorista","Precio Minorista","Procedencia","observaciones","fecha","Mercado"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","25/01/2013","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","14   Bs.-/Kilo","Santa Cruz","","25/01/2013","Trinidad"
"Frejol","Negro","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","25/01/2013","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","40   Bs.-/Kilo","Santa Cruz","","25/01/2013","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","25/01/2013","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","55   Bs.-/Arroba (@)","Santa Cruz","princesa","25/01/2013","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","50   Bs.-/100 U.","Santa Cruz","segunda maedianos","25/01/2013","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","25/01/2013","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","25/01/2013","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","25/01/2013","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","25/01/2013","Trinidad"
"Limon","de Licuar","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","25/01/2013","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","25/01/2013","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Beni","","25/01/2013","Trinidad"
"Maiz","Duro","0   Bs.-/qq","3   Bs.-/Kilo","Santa Cruz","","25/01/2013","Trinidad"
